name,description,month,day,scope,category,suggested_hashtags,idea_templates,is_active
Tahun Baru,Awal tahun kalender — momentum resolusi & promo awal tahun,1,1,national,umum,TahunBaru;Resolusi2026;NewYearNewGoals,"Refleksi & resolusi: 5 pelajaran bisnis saya di tahun lalu
Promo awal tahun: Diskon New Year Sale untuk produk terpilih
Engagement: Polling — apa target followers tahun ini?",true
Hari Valentine,Momentum cinta & promo hadiah — traffic belanja tinggi,2,14,international,retail,ValentinesDay;ValentineGift;HappyValentines,"Promo hadiah: Bundling produk Gift for Him/Her dengan kemasan spesial
Konten emosional: Cerita pasangan pelanggan setiamu
Educational: Tips memilih hadiah sesuai love language",true
Imlek,Tahun Baru Imlek — tanggal mengikuti kalender lunar tiap tahun,2,1,national,retail,Imlek;GongXiFaCai;ChineseNewYear,"Promo Imlek: Diskon bertema merah-emas, angka hoki 8
Konten budaya: Share makna kue keranjang sebelum Imlek",true
Hari Peduli Sampah Nasional,Kesadaran lingkungan — cocok untuk brand sustainability,2,21,national,umum,SampahNasional;GoGreen;ZeroWaste,"Challenge: Flip challenge tambah 1 kebiasaan ramah lingkungan
Tips: 5 cara kurangi sampah plastik dalam bisnismu",true
Isra Miraj,Perjalanan spiritual Nabi Muhammad — konten keagamaan,3,27,international,umum,IsraMiraj;NightJourney,"Inspirasi: Makna ketekunan dari perjalanan Isra Miraj
Konten keagamaan: Refleksi spiritual untuk pebisnis",true
Hari Konsumen Nasional,Hak konsumen — edukasi & trust building,3,15,international,umum,HariKonsumen;ConsumerDay,"Edukasi: 5 hak konsumen yang perlu diketahui
Tips: Cara membangun trust dengan pelanggan",true
Hari Autism Sedunia,Kesadaran autisme — konten inklusif,4,2,international,umum,WorldAutismDay;AutismAwareness,"Inklusif: Dukung teman-teman autis
Edukasi: Fakta autisme yang perlu diketahui",true
Hari Kartini,Semangat emansipasi & kekuatan perempuan Indonesia,4,21,national,umum,HariKartini;WanitaIndonesia,"Inspirasi: Cerita perempuan di balik brandmu
Promo: Diskon khusus perempuan hari ini",true
Hari Buruh (May Day),Hari kerja — apresiasi tim & konten workplace,5,1,international,umum,MayDay;HariBuruh,"Apresiasi: Behind the scene tim kerjamu
Tips: 5 tips produktivitas kerja dari rumah",true
Hari Pendidikan Nasional,Momentum untuk edukasi & konten pembelajaran,5,2,national,pendidikan,Hardiknas;PendidikanIndonesia,"Edukasi: 5 skill yang wajib dipelajari UMKM di 2026
Inspirasi: Cerita perjalanan bisnis dari nol",true
Hari Raya Waisak,Hari besar umat Buddha — momentum konten inklusif,5,12,international,umum,Waisak;Vesak,"Inspirasi: Filosofi kedamaian untuk bisnis
Konten budaya: Makna Waisak dan tradisi unik",true
Hari Kenaikan Isa Almasih,Hari raya Kristen — momentum konten inklusif,5,29,international,umum,KenaikanIsa;AscensionDay,"Inspirasi: Nilai ketekunan dalam membangun bisnis
Konten reflektif: Pelajaran hidup yang relevan dengan bisnis",true
